county,state,refNum,poverty,povertyPop,totalPop,blackPopPercent,violent,violentCrime,fed,fedExpenditure,medianIncome
Autauga,Alabama,1001,5103,9.35,54571,17.7,116,0.002125671,349336,6.4014953,53081
Baldwin,Alabama,1003,20265,11.12,182265,9.4,306,0.001678874,1178384,6.465223713,48637
Barbour,Alabama,1005,6673,24.30,27457,46.9,31,0.001129038,251450,9.157956077,28802
Bibb,Alabama,1007,2442,10.66,22915,22,44,0.00192014,172231,7.51608117,38294
Blount,Alabama,1009,6156,10.74,57322,1.3,27,0.000471023,304366,5.309758906,41520
Bullock,Alabama,1011,3423,31.36,10914,70.2,44,0.004031519,114563,10.49688474,24206
Butler,Alabama,1013,4360,20.81,20947,43.4,73,0.003484986,202512,9.667828329,27794
Calhoun,Alabama,1015,19256,16.24,118572,20.6,777,0.00655298,1726312,14.55918767,37340
Chambers,Alabama,1017,5507,16.10,34215,38.7,193,0.005640801,306315,8.952652345,30621
Cherokee,Alabama,1019,3517,13.53,25989,4.6,18,0.000692601,184840,7.112239794,38024
Chilton,Alabama,1021,7208,16.52,43643,9.7,395,0.009050707,288628,6.613385881,38916
Choctaw,Alabama,1023,3167,22.85,13859,43.4,0,0,147410,10.63640955,31067
Clarke,Alabama,1025,6799,26.32,25833,43.9,35,0.001354856,263343,10.19405412,32729
Clay,Alabama,1027,2204,15.82,13932,14.8,13,0.000933104,134798,9.675423486,34831
Cleburne,Alabama,1029,2340,15.63,14972,3.3,46,0.003072402,105818,7.067726423,37870
Coffee,Alabama,1031,7346,14.71,49948,16.7,123,0.002462561,2081284,41.66901578,43296
Colbert,Alabama,1033,7557,13.88,54428,16.1,343,0.006301903,526122,9.666384949,37111
Conecuh,Alabama,1035,3778,28.56,13228,46.5,27,0.002041125,148704,11.24160871,26882
Coosa,Alabama,1037,2090,18.11,11539,31,24,0.002079903,93142,8.071929977,34795
Covington,Alabama,1039,6567,17.39,37765,12.5,94,0.002489077,377865,10.0056931,32179
Crenshaw,Alabama,1041,2969,21.35,13906,23.4,25,0.001797785,139808,10.05378973,31849
Cullman,Alabama,1043,13112,16.31,80406,1.1,151,0.001877969,626074,7.786408974,37425
Dale,Alabama,1045,6494,12.92,50251,19.3,177,0.003522318,644260,12.82083939,41279
Dallas,Alabama,1047,13514,30.84,43820,69.4,339,0.007736194,614695,14.02772707,27088
De kalb,Alabama,1049,14165,19.92,71109,1.5,122,0.001715676,471597,6.632029701,33919
Elmore,Alabama,1051,9245,11.66,79303,20,144,0.00181582,525116,6.621641048,50194
Escambia,Alabama,1053,7906,20.63,38319,31.9,187,0.004880086,316223,8.252381325,31443
Etowah,Alabama,1055,16422,15.73,104430,15.1,374,0.003581346,966571,9.255683233,38575
Fayette,Alabama,1057,2797,16.22,17241,11.4,25,0.001450032,153852,8.923612319,34262
Franklin,Alabama,1059,5559,17.53,31704,3.9,64,0.002018673,275407,8.686821852,32588
Geneva,Alabama,1061,4039,15.08,26790,9.5,59,0.002202314,255522,9.537961926,31347
Greene,Alabama,1063,2697,29.82,9045,81.5,98,0.010834715,111532,12.33079049,26131
Hale,Alabama,1065,4612,29.26,15760,59,76,0.004822335,182538,11.58236041,30124
Henry,Alabama,1067,2549,14.73,17302,28.6,57,0.003294417,173441,10.02433245,35215
Houston,Alabama,1069,15259,15.03,101547,25.8,432,0.004254188,744354,7.330142693,38751
Jackson,Alabama,1071,9244,17.37,53227,3.3,93,0.001747234,669125,12.5711575,35015
Jefferson,Alabama,1073,98494,14.96,658466,42,5389,0.008184174,7448880,11.31247475,43312
Lamar,Alabama,1075,2413,16.57,14564,11.3,10,0.000686625,144197,9.900920077,31226
Lauderdale,Alabama,1077,15602,16.83,92709,10,229,0.002470095,750513,8.09536291,39096
Lawrence,Alabama,1079,4206,12.25,34339,11.5,46,0.001339585,239927,6.987011852,36311
Lee,Alabama,1081,25347,18.07,140247,22.7,617,0.004399381,762483,5.436715224,37836
Limestone,Alabama,1083,9104,11.00,82782,12.6,100,0.001207992,519196,6.271846537,46610
Lowndes,Alabama,1085,3240,28.68,11299,73.5,11,0.000973537,139531,12.34896894,28100
Macon,Alabama,1087,5434,25.33,21452,82.6,222,0.010348685,320600,14.94499347,26328
Madison,Alabama,1089,34509,10.31,334811,24,1557,0.004650385,9801833,29.27571973,57327
Marengo,Alabama,1091,5575,26.51,21027,51.7,116,0.005516717,221479,10.53307652,31867
Marion,Alabama,1093,5195,16.88,30776,3.8,58,0.001884585,264112,8.581752015,32317
Marshall,Alabama,1095,17638,18.96,93019,1.6,256,0.002752126,781046,8.396628646,37506
Mobile,Alabama,1097,75849,18.37,412992,34.6,1912,0.00462963,3934137,9.52593997,39828
Monroe,Alabama,1099,5626,24.39,23068,41.7,121,0.005245362,211708,9.177561991,30920
Montgomery,Alabama,1101,38126,16.62,229363,54.7,953,0.004154986,4910688,21.4101141,41084
Morgan,Alabama,1103,17521,14.66,119490,11.9,345,0.002887271,869831,7.279529668,40317
Perry,Alabama,1105,2327,21.97,10591,68.7,82,0.007742423,134108,12.66244925,24351
Pickens,Alabama,1107,5084,25.75,19746,41.6,58,0.002937304,237992,12.05266889,29677
Pike,Alabama,1109,8437,25.65,32899,36.6,81,0.002462081,360867,10.96893523,31229
Randolph,Alabama,1111,4348,18.98,22913,20.1,35,0.001527517,193090,8.42709379,33869
Russell,Alabama,1113,10717,20.24,52947,41.8,187,0.003531834,459257,8.673900315,33537
St clair,Alabama,1115,8451,10.11,83593,8.6,163,0.001949924,425073,5.085031043,45601
Shelby,Alabama,1117,11594,5.94,195085,10.6,269,0.001378886,918449,4.707942692,65408
Sumter,Alabama,1119,5252,38.16,13763,75,11,0.000799244,169160,12.29092494,22857
Talladega,Alabama,1121,14551,17.68,82291,31.7,338,0.004107375,743378,9.03352736,37260
Tallapoosa,Alabama,1123,6959,16.72,41616,26.6,275,0.006608035,375719,9.028234333,35702
Tuscaloosa,Alabama,1125,35104,18.03,194656,29.6,852,0.004376952,1626456,8.35554003,41842
Walker,Alabama,1127,11459,17.10,67023,5.9,157,0.002342479,694719,10.36538203,36582
Washington,Alabama,1129,3357,19.09,17581,24.9,88,0.005005404,145145,8.255787498,36946
Wilcox,Alabama,1131,4544,38.94,11670,72.5,20,0.001713796,174568,14.95869751,22611
Winston,Alabama,1133,5429,22.17,24484,0.5,54,0.002205522,218836,8.937918641,31062
Aleutians east,Alaska,2013,307,9.77,3141,7,0,0,45407,14.45622413,50444
Aleutians west,Alaska,2016,543,9.76,5561,6,16,0.00287718,35401,6.365941377,58174
Anchorage,Alaska,2020,21466,7.36,291826,5.6,3422,0.011726166,4812379,16.49057658,72210
Bethel,Alaska,2050,3081,18.11,17013,0.4,50,0.002938929,391876,23.03391524,41810
Bristol bay,Alaska,2060,38,3.81,997,0,0,0,81026,81.26980943,64418
Denali,Alaska,2068,68,3.72,1826,0.5,0,0,134212,73.50054765,62615
Dillingham,Alaska,2070,905,18.67,4847,0.2,47,0.00969672,52298,10.78976687,46580
Fairbanks north star,Alaska,2090,7359,7.54,97581,4.5,290,0.00297189,1546639,15.84979658,64691
Haines,Alaska,2100,111,4.43,2508,0.4,8,0.003189793,19520,7.783094099,48644
Hoonah-Angoon,Alaska,2105,237,11.02,2150,0.4,6,0.002790698,38303,17.81534884,41824
Juneau,Alaska,2110,2014,6.44,31275,0.9,122,0.003900879,779725,24.931255,73044
Kenai peninsula,Alaska,2122,5003,9.03,55400,0.5,116,0.002093863,356730,6.439169675,57171
Ketchikan gateway,Alaska,2130,1217,9.03,13477,0.6,28,0.002077614,147616,10.95317949,58492
Kodiak island,Alaska,2150,1352,9.95,13592,0.7,37,0.00272219,182595,13.4340053,62574
Lake and peninsula,Alaska,2164,307,18.82,1631,0.6,0,0,13514,8.285714286,42236
Matanuska-Susitna,Alaska,2170,8300,9.33,88995,1,127,0.001427046,361792,4.06530704,70442
Nome,Alaska,2180,2013,21.21,9492,0.3,0,0,156073,16.44258323,48174
North Slope,Alaska,2185,984,10.43,9430,1,60,0.006362672,64164,6.804241782,75057
Northwest Arctic,Alaska,2188,1421,18.89,7523,0.5,12,0.001595108,68479,9.102618636,52272
Petersburg,Alaska,2195,382,10.01,3815,0.4,23,0.006028834,62757,16.45006553,51374
Prince of Wales-Hyder,Alaska,2198,729,13.11,5559,0.3,16,0.002878216,53337,9.594711279,43210
Sitka,Alaska,2220,577,6.50,8881,0.5,13,0.001463799,98332,11.07217656,59536
Skagway,Alaska,2230,98,10.12,968,0,0,0,0,0,63947
Southeast Fairbanks,Alaska,2240,756,10.76,7029,1.1,0,0,119166,16.95347845,54749
Valdez-Cordova,Alaska,2261,772,8.01,9636,0.5,41,0.004254878,1253759,130.1119759,60780
Wade Hampton,Alaska,2270,2388,32.02,7459,0,0,0,127286,17.06475399,30238
Wrangell,Alaska,2275,210,8.86,2369,0.2,0,0,0,0,48021
Yakutat,Alaska,2282,14,2.11,662,0.3,0,0,8871,13.40030211,52102
Yukon-Koyukuk,Alaska,2290,1386,24.80,5588,0.2,0,0,121018,21.6567645,32125
Apache,Arizona,4001,25109,35.11,71518,0.2,34,0.000475405,1676042,23.43524707,28956
Cochise,Arizona,4003,19830,15.10,131346,4.2,669,0.005093417,3090800,23.53174059,43786
Coconino,Arizona,4005,21265,15.82,134421,1.2,505,0.003756853,1357410,10.09819894,49777
Gila,Arizona,4007,9794,18.27,53597,0.4,264,0.004925649,635859,11.86370506,36764
Graham,Arizona,4009,6073,16.32,37220,1.8,521,0.013997851,319595,8.586646964,40609
Greenlee,Arizona,4011,1142,13.54,8437,1.1,21,0.002489036,56007,6.638260045,56855
La paz,Arizona,4012,3879,18.93,20489,0.6,159,0.007760262,157716,7.697593831,30939
Maricopa,Arizona,4013,508722,13.33,3817117,5,18733,0.004907631,31522470,8.258188051,53284
Mohave,Arizona,4015,29164,14.57,200186,0.9,717,0.003581669,1474797,7.367133566,39863
Navajo,Arizona,4017,26686,24.84,107449,0.9,1435,0.013355173,1280981,11.92175823,34855
Pima,Arizona,4019,152597,15.57,980263,3.5,5241,0.005346524,14248595,14.5354818,43243
Pinal,Arizona,4021,37948,10.10,375770,4.6,1140,0.003033771,2009766,5.348393964,49088
Santa cruz,Arizona,4023,9339,19.69,47420,0.4,74,0.001560523,602981,12.71575285,35545
Yavapai,Arizona,4025,26118,12.38,211033,0.6,758,0.003591855,1624239,7.69661143,40837
Yuma,Arizona,4027,36374,18.58,195751,2,676,0.003453367,1761651,8.999448279,38251
Arkansas,Arkansas,5001,3388,17.81,19019,24.5,77,0.004048583,242174,12.73326673,37693
Ashley,Arkansas,5003,4393,20.10,21853,25.8,57,0.002608338,231657,10.60069556,35773
Baxter,Arkansas,5005,6178,14.88,41513,0.2,46,0.001108087,413016,9.949076193,33878
Benton,Arkansas,5007,23195,10.48,221339,1.3,463,0.002091814,957046,4.32389231,49226
Boone,Arkansas,5009,5663,15.35,36903,0.2,119,0.00322467,344414,9.33295396,37007
Bradley,Arkansas,5011,4140,35.97,11508,27.6,45,0.003910323,134734,11.7078554,29221
Calhoun,Arkansas,5013,855,15.93,5368,22.2,4,0.000745156,178671,33.28446349,34453
Carroll,Arkansas,5015,4924,17.94,27446,0.4,73,0.002659768,191264,6.968738614,35006
Chicot,Arkansas,5017,4294,36.39,11800,54.1,81,0.006864407,197915,16.77245763,25186
Clark,Arkansas,5019,5298,23.04,22995,23.5,78,0.003392042,202220,8.794085671,33857
Clay,Arkansas,5021,3133,19.48,16083,0.3,17,0.001057017,196499,12.21780762,30568
Cleburne,Arkansas,5023,3933,15.14,25970,0.3,84,0.003234501,224572,8.647362341,37583
Cleveland,Arkansas,5025,1461,16.81,8689,12.2,4,0.000460352,66717,7.678328922,38476
Columbia,Arkansas,5027,4484,18.26,24552,36.9,97,0.003950798,249803,10.17444607,32620
Conway,Arkansas,5029,3431,16.13,21273,11.2,41,0.001927326,203376,9.560287689,36356
Craighead,Arkansas,5031,15389,15.96,96443,13.1,311,0.003224703,670066,6.947792997,39526
Crawford,Arkansas,5033,11299,18.24,61948,1.2,69,0.001113837,383402,6.189094079,39618
Crittenden,Arkansas,5035,13432,26.39,50902,51.2,749,0.01471455,487171,9.570763428,34099
Cross,Arkansas,5037,3004,16.81,17870,22.2,112,0.006267487,189632,10.61175154,35722
Dallas,Arkansas,5039,1545,19.04,8116,41.9,34,0.004189256,88703,10.92939872,30454
Desha,Arkansas,5041,4119,31.67,13008,47.8,46,0.003536285,182250,14.01060886,28734
Drew,Arkansas,5043,4128,22.30,18509,27.8,70,0.003781944,169153,9.138959425,31676
Faulkner,Arkansas,5045,15806,13.96,113237,10.2,308,0.002719959,606982,5.360279767,48390
Franklin,Arkansas,5047,3584,19.77,18125,0.7,44,0.002427586,147368,8.130648276,31666
Fulton,Arkansas,5049,2223,18.15,12245,0.3,19,0.001551654,108115,8.829318089,30831
Garland,Arkansas,5051,15005,15.63,96024,7.9,642,0.006685829,1017605,10.59740273,37427
Grant,Arkansas,5053,1655,9.27,17853,2.2,32,0.001792416,108616,6.083907467,48610
Greene,Arkansas,5055,7075,16.81,42090,0.6,134,0.003183654,304875,7.243406985,37997
Hempstead,Arkansas,5057,5040,22.29,22609,29.4,127,0.005617232,192180,8.500154806,30735
Hot spring,Arkansas,5059,4342,13.19,32923,10.8,28,0.000850469,240945,7.318439996,36387
Howard,Arkansas,5061,3046,22.09,13789,20.6,32,0.00232069,126046,9.141054464,31196
Independence,Arkansas,5063,5905,16.11,36647,2,190,0.005184599,322092,8.789041395,34487
Izard,Arkansas,5065,2493,18.20,13696,1.3,5,0.00036507,139676,10.19830607,30143
Jackson,Arkansas,5067,4333,24.08,17997,16.7,97,0.005389787,234926,13.05362005,28987
Jefferson,Arkansas,5069,16739,21.62,77435,55.1,928,0.011984245,1151252,14.86733389,34389
Johnson,Arkansas,5071,4791,18.76,25540,1.4,37,0.001448708,173216,6.782145654,32206
Lafayette,Arkansas,5073,1625,21.26,7645,37.2,39,0.005101373,91421,11.95827338,27951
Lawrence,Arkansas,5075,3785,21.73,17415,0.8,41,0.002354292,204391,11.73649153,31045
Lee,Arkansas,5077,2805,26.91,10424,55.3,30,0.002877974,161678,15.51016884,23716
Lincoln,Arkansas,5079,2765,19.56,14134,29.9,17,0.001202773,111678,7.901372577,33945
Little river,Arkansas,5081,2258,17.14,13171,19.1,22,0.001670336,114007,8.655910713,34776
Logan,Arkansas,5083,3868,17.30,22353,1.3,61,0.00272894,197961,8.856126694,32827
Lonoke,Arkansas,5085,7690,11.25,68356,6,246,0.003598806,424903,6.21603078,50910
Madison,Arkansas,5087,2677,17.03,15717,0.2,30,0.001908761,113117,7.197111408,33117
Marion,Arkansas,5089,2994,17.98,16653,0.2,54,0.003242659,146635,8.805320363,33617
Miller,Arkansas,5091,7546,17.36,43462,24.5,574,0.013206939,359245,8.265726382,38855
